spkid,full_name,name,neo,sats,H,orbit_id,e,a,q,i,om,w,tp,per,per_y,moid,moid_ld,moid_jup,t_jup,data_arc,condition_code,rms,pha,class
20000056,    56 Melete (A857 RB),Melete,N,0,8.55,JPL 141,0.2371,2.597,1.981,8.08,192.94,104.9,2460609.68,1530,4.19,0.985,383,2.08,3.36,58162,0,0.35651,N,MBA
20000057,    57 Mnemosyne (A859 SA),Mnemosyne,N,0,7,JPL 70,0.1084,3.155,2.813,15.24,198.9,210.87,2459833.31,2050,5.6,1.83,713,1.97,3.14,60108,0,0.41641,N,MBA
20000058,    58 Concordia (A860 FA),Concordia,N,0,9.04,JPL 151,0.0454,2.7,2.577,5.07,161.06,33.91,2460512.34,1620,4.44,1.58,615,2.13,3.36,58609,0,0.34189,N,MBA
20000059,    59 Elpis (A860 RA),Elpis,N,0,8.12,JPL 142,0.1168,2.714,2.397,8.65,169.92,211.04,2461143.92,1630,4.47,1.4,546,2.44,3.33,57996,0,0.3237,N,MBA
20000060,    60 Echo (A860 RB),Echo,N,0,8.65,JPL 152,0.1845,2.392,1.951,3.6,191.53,270.78,2460519.34,1350,3.7,0.972,378,2.33,3.5,59588,0,0.35077,N,MBA
20000061,    61 Danae (A860 RC),Danae,N,0,7.75,JPL 73,0.1641,2.986,2.496,18.2,333.55,12.86,2460945.96,1880,5.16,1.49,580,1.93,3.16,58111,0,0.28019,N,MBA
20000062,    62 Erato (A860 RD),Erato,N,0,8.93,JPL 147,0.1681,3.131,2.604,2.24,125.1,277.65,2461305.85,2020,5.54,1.61,628,1.76,3.19,43352,0,0.29431,N,MBA
20000063,    63 Ausonia (A861 CA),Ausonia,N,0,7.13,JPL 135,0.1282,2.395,2.088,5.77,337.69,295.71,2460782.33,1350,3.71,1.08,420,2.42,3.51,59672,0,0.34776,N,MBA
20000064,    64 Angelina (A861 EA),Angelina,N,0,7.79,JPL 149,0.1263,2.682,2.343,1.31,308.96,181,2460042.69,1600,4.39,1.36,529,2.03,3.36,59744,0,0.37433,N,MBA
20000065,    65 Cybele (A861 EB),Cybele,N,0,6.83,JPL 112,0.1265,3.413,2.981,3.56,155.14,103.65,2461557.18,2300,6.3,1.97,767,1.22,3.13,59717,0,0.40596,N,OMB
20000066,    66 Maja (A861 GA),Maja,N,0,9.51,JPL 77,0.1724,2.646,2.19,3.04,7.49,43.39,2460086.31,1570,4.3,1.2,467,2.29,3.37,59610,0,0.41759,N,MBA
20000067,    67 Asia (A861 HA),Asia,N,0,8.41,JPL 156,0.1846,2.423,1.976,6.03,202.38,107.25,2460289.39,1380,3.77,0.972,378,2.41,3.48,58632,0,0.28473,N,MBA
20000068,    68 Leto (A861 HB),Leto,N,0,6.9,JPL 140,0.1845,2.783,2.27,7.96,44.05,304.82,2460761.67,1700,4.64,1.27,496,2.17,3.29,58719,0,0.23761,N,MBA
20000069,    69 Hesperia (A861 HC),Hesperia,N,0,7.22,JPL 149,0.1698,2.98,2.474,8.59,184.95,288.23,2460777.95,1880,5.14,1.51,587,1.71,3.22,59693,0,0.37295,N,MBA
20000070,    70 Panopaea (A861 JA),Panopaea,N,0,8.2,JPL 79,0.1827,2.614,2.136,11.6,47.64,255.5,2459845.15,1540,4.23,1.16,450,2.21,3.36,57547,0,0.27894,N,MBA
